降水量の合計(mm),最高気温(℃),最低気温(℃),最多風向(16方位),天気概況(昼：06時〜18時),平均雲量(10分比),平均蒸気圧(hPa)
0,25.8,16.5,8,4,9.8,16.9
2.0,22.2,17.3,8,10,10.0,19.4
0.0,28.4,16.4,2,4,6.5,18.1
19.0,17.3,14.6,0,4,10.0,16.1
0.5,22.5,11.0,15,2,4.3,10.9
0,22.1,11.1,8,2,3.8,9.0
0.0,23.0,13.9,8,4,10.0,13.3
1.0,25.7,17.7,8,4,10.0,21.1
0.5,28.1,20.2,6,2,5.5,22.1
0.0,26.5,19.1,0,4,10.0,19.3
0,28.7,16.8,9,2,4.5,14.5
0,26.2,13.8,8,2,4.0,9.9
0.0,26.5,15.2,8,3,7.5,13.1
24.0,21.7,16.4,8,10,10.0,18.7
0.0,28.2,15.8,7,2,5.8,18.5
2.0,20.1,18.7,2,10,10.0,20.3
54.5,19.2,13.4,14,10,10.0,19.9
3.0,15.4,10.9,1,4,10.0,13.2
0.5,14.8,10.7,15,4,10.0,13.1
1.0,18.1,12.8,15,4,10.0,15.5
0.0,23.7,15.3,7,4,8.5,18.0
0,26.5,15.8,7,2,6.3,18.0
0,26.5,18.1,7,3,9.3,18.2
0.5,24.3,18.6,7,4,9.5,21.5
0.0,26.6,18.4,15,4,9.8,20.3
9.5,25.2,12.9,7,4,8.8,15.1
0,27.4,14.1,8,2,3.5,15.3
0,27.9,17.4,8,3,7.0,18.2
0.0,24.5,18.8,8,4,8.0,18.3
4.0,21.2,18.5,6,10,10.0,21.2
0.0,26.6,18.9,7,4,10.0,23.4
0.0,28.5,20.9,7,3,9.8,22.5
0.0,27.6,20.6,7,4,10.0,22.7
0,29.9,20.0,8,3,9.3,22.8
6.5,28.4,18.8,4,4,10.0,23.1
0.5,27.2,17.4,4,2,7.5,17.3
0.0,28.3,19.7,8,2,5.8,20.7
0,31.0,20.4,8,3,7.3,21.6
0.0,31.4,21.8,8,2,4.8,21.5
10.0,30.5,22.7,8,4,9.5,26.8
5.5,31.6,22.9,8,4,9.0,28.3
35.5,24.3,19.1,2,0,10.0,25.3
5.5,24.0,19.9,8,10,10.0,25.8
0,32.6,21.0,7,3,9.5,26.5
0.0,30.5,21.8,8,4,7.3,22.0
0,28.8,19.3,6,2,4.0,18.1
2.0,25.5,19.6,9,4,10.0,21.6
50.0,19.8,18.0,15,0,10.0,21.4
0,28.7,17.1,7,4,6.5,20.7
2.5,26.5,17.9,6,4,10.0,21.6
27.5,21.0,17.6,15,10,10.0,21.2
3.0,27.2,18.0,6,4,9.3,22.9
0.0,26.8,19.3,2,4,9.5,22.9
14.5,23.3,17.9,6,4,10.0,22.4
0.0,30.9,19.7,0,4,9.0,26.3
0.0,29.3,22.2,7,4,10.0,27.0
30.0,24.9,20.5,7,10,10.0,25.8
0,29.8,20.1,7,2,3.5,21.5
15.5,27.7,22.2,8,4,9.8,27.7
21.0,26.7,22.7,8,4,10.0,28.5
0.5,30.8,21.7,8,2,5.5,23.4
6.0,28.7,20.3,4,4,10.0,23.3
25.5,27.7,20.0,8,4,10.0,26.4
3.5,28.1,23.2,8,4,10.0,27.2
40.5,26.9,22.8,8,10,10.0,28.8
0.5,29.3,25.1,8,4,10.0,30.2
3.0,28.5,23.6,8,4,10.0,28.0
14.0,26.1,22.3,8,10,10.0,28.0
0.5,28.1,22.7,8,10,9.8,29.1
2.0,31.2,24.8,8,4,10.0,30.0
0.5,32.5,19.9,4,4,10.0,27.4
6.0,25.2,18.7,7,4,10.0,22.5
6.0,23.7,20.6,8,10,10.0,26.2
6.5,22.0,17.7,2,10,10.0,23.3
0.5,24.6,17.4,2,4,10.0,21.0
34.5,20.6,18.1,2,10,10.0,21.9
20.0,22.0,19.2,1,10,10.0,24.0
0,29.3,21.4,7,2,5.8,27.2
0.0,31.9,23.1,6,3,8.5,28.2
1.0,29.0,22.5,8,4,10.0,28.5
0.0,29.9,24.9,8,4,10.0,30.9
31.5,26.0,22.1,13,10,10.0,28.3
0.0,27.2,21.6,8,4,9.8,28.7
23.5,27.4,23.7,8,10,10.0,31.2
18.5,31.2,23.5,8,4,10.0,31.1
2.0,30.7,23.9,9,4,10.0,30.0
2.0,31.0,23.9,9,10,10.0,31.2
0.0,25.6,21.3,2,4,10.0,24.4
0.0,26.5,20.4,3,4,10.0,23.9
1.0,29.6,22.4,7,4,10.0,28.0
0.5,31.8,21.8,2,2,7.8,25.8
0,31.5,22.6,7,2,5.5,25.4
0,32.3,22.3,7,2,3.8,26.0
0,33.1,24.5,7,2,4.3,29.2
0.0,34.2,25.7,8,2,3.3,30.3
0,33.1,25.5,7,2,7.8,30.4
0,35.4,26.0,8,3,7.5,29.1
0,32.3,25.1,6,4,8.3,29.8
0,34.7,23.4,7,3,9.5,30.0
0,35.2,26.9,6,3,10.0,31.5
0,37.3,27.0,8,2,2.8,31.0
0.5,35.8,27.3,7,2,6.8,33.1
21.5,36.1,25.4,0,2,5.0,32.6
0.0,34.2,24.9,6,2,2.0,31.8
0,36.1,26.9,7,2,3.8,33.7
0.0,35.4,28.0,4,2,7.3,33.1
0.0,36.5,27.2,7,4,7.8,33.4
0,34.3,27.8,6,2,8.8,30.6
0,34.2,25.6,8,2,5.3,28.4
0,34.8,25.8,8,2,1.0,30.3
0,36.0,26.0,8,2,2.3,29.9
0.0,35.2,24.0,6,2,6.0,30.1
38.0,29.4,23.2,0,4,9.8,28.4
0.0,32.3,23.0,2,2,5.0,27.9
0,32.2,24.8,7,2,6.3,27.8
0,34.0,24.3,7,2,6.0,30.0
0.0,33.6,26.3,6,2,4.5,32.1
0,34.5,27.0,6,2,4.3,32.4
0,35.0,26.9,8,2,3.8,31.2
0,34.9,26.6,8,2,4.5,30.6
1.0,32.6,22.7,3,4,8.3,29.1
1.0,27.4,21.9,15,4,10.0,26.8
7.5,32.1,24.0,15,4,10.0,32.6
3.5,32.7,26.4,8,2,8.5,32.9
0.0,35.1,25.1,9,2,7.5,30.7
8.5,34.2,25.3,2,2,6.5,30.5
25.5,29.5,22.5,2,4,9.8,30.9
19.0,31.2,24.2,7,4,9.5,32.6
0,34.2,26.9,8,2,4.0,29.7
0.5,33.6,25.2,8,2,2.8,28.6
0.0,31.7,25.2,8,4,9.0,29.6
0.0,32.5,24.9,7,2,6.8,30.1
14.5,27.7,22.0,1,10,10.0,28.5
0.5,27.8,20.0,3,4,7.5,25.4
0.5,27.2,20.9,4,4,10.0,24.7
0.5,27.7,20.9,3,4,9.0,23.9
2.0,28.1,21.2,2,4,9.8,24.1
0.0,28.4,22.1,8,4,9.5,27.6
0.0,33.4,26.4,9,4,9.0,29.7
0.0,27.1,22.6,2,4,8.8,24.5
0.5,23.7,20.8,15,4,10.0,21.3
0.5,26.1,19.7,3,4,6.0,20.5
3.5,27.7,19.1,0,4,9.0,20.5
7.5,22.7,18.6,0,10,10.0,22.5
10.0,22.2,17.9,15,10,10.0,20.0
5.5,20.8,17.8,14,10,10.0,21.3
6.0,20.0,17.8,1,10,10.0,20.7
0.5,23.5,17.6,2,4,9.8,20.2
0,27.4,16.0,15,2,3.5,17.6
0.0,23.1,16.7,1,4,10.0,15.4
0,25.4,14.7,3,2,3.8,15.0
1.0,24.3,17.1,3,4,7.8,19.0
0,26.7,16.2,6,1,2.8,17.4
0.0,26.3,18.4,7,4,8.5,19.0
0.0,26.2,19.5,8,4,10.0,20.3
0.0,24.8,20.1,15,2,10.0,20.9
0.0,24.8,17.9,15,4,8.3,12.9
6.0,23.9,14.6,1,4,8.5,15.0
44.0,15.5,13.8,15,10,10.0,16.6
38.0,15.4,13.8,15,10,10.0,16.4
73.5,17.1,13.8,15,0,10.0,18.2
0.5,23.3,17.0,15,4,10.0,21.0
0.0,25.1,18.6,15,4,9.5,22.1
0,26.7,19.0,3,2,8.5,20.9
0,23.2,18.4,1,4,10.0,15.9
1.0,19.7,14.7,2,10,10.0,16.0
0.0,19.5,13.9,1,4,9.5,10.8
23.0,16.0,11.5,15,10,10.0,13.6
0.5,19.8,11.3,15,4,7.0,13.4
9.0,17.1,11.2,14,4,7.5,13.4
0,21.0,10.5,15,4,5.3,12.9
0.0,21.6,11.9,1,2,4.8,12.3
0.0,22.1,14.2,15,4,10.0,14.0
8.5,17.9,14.3,15,10,10.0,18.0
0,21.2,12.7,14,2,5.0,11.1
0,21.3,11.4,14,1,1.5,9.4
0,22.9,10.7,6,2,6.3,11.5
0,20.8,13.3,15,2,8.3,12.2
0,20.2,13.1,8,4,8.0,13.8
0,22.8,13.0,15,2,4.8,10.6
0.0,18.5,11.1,15,4,6.3,8.1
0,19.2,9.2,15,1,0.0,8.3
0,19.9,9.0,14,4,7.5,11.1
2.5,23.6,11.6,14,4,8.0,13.8
4.5,17.1,12.8,14,4,10.0,15.6
0,18.6,9.8,14,2,2.0,7.3
0,19.4,9.1,15,1,0.5,8.5
0,16.2,10.6,15,4,9.8,9.9
0.0,20.6,11.5,15,4,9.5,13.8
2.5,22.4,13.5,14,4,10.0,14.8
0,18.3,10.5,15,2,4.3,6.8
0,16.9,8.6,15,1,2.8,6.8
0,16.9,8.3,15,2,1.5,6.5
0,13.1,6.2,0,4,7.3,7.9
0,19.0,9.7,15,2,3.8,10.5
0,20.3,10.4,15,1,0.0,8.9
0,18.6,7.5,8,2,3.8,10.0
0,21.4,9.1,15,2,3.0,11.1
0,20.7,10.8,6,1,0.5,10.6
0,21.4,10.3,14,2,5.3,13.8
0,24.9,13.2,8,2,8.5,16.5
0.0,23.9,18.5,8,4,10.0,19.1
0,20.2,11.1,15,1,2.5,8.7
0,19.3,8.5,8,2,1.3,11.6
0.0,20.9,11.4,15,2,7.5,9.3
0.0,13.3,10.1,15,4,10.0,7.8
5.0,12.1,9.2,14,10,10.0,11.9
0,18.6,9.2,15,2,4.8,11.7
0.0,13.2,10.2,2,4,9.5,10.6
0,17.3,8.8,15,2,5.0,7.5
0,13.7,7.5,3,4,8.0,6.9
0,14.9,5.2,14,2,6.3,8.3
0,14.9,5.6,0,2,0.8,8.0
8.0,10.2,7.0,15,4,9.8,8.7
0.0,10.6,6.7,14,4,8.0,9.8
0,13.9,5.5,0,2,5.3,6.9
3.5,7.7,4.4,14,10,10.0,8.4
0,13.5,4.4,0,2,4.8,8.5
0,16.1,4.7,15,1,0.8,8.3
0.0,17.2,5.8,14,2,5.0,8.6
0.0,12.2,7.9,1,4,10.0,7.3
0.0,12.2,6.9,14,4,7.5,8.4
0,14.4,5.3,14,4,5.5,9.4
0,15.0,8.3,14,4,10.0,9.4
0,15.4,5.9,4,2,3.5,8.6
0.0,13.1,5.5,14,4,8.5,6.7
0,11.3,2.0,14,2,4.5,4.1
0,9.6,0.5,0,2,2.8,3.5
0,9.4,-0.1,14,1,0.3,3.3
0,11.6,0.5,8,2,2.5,5.0
0,9.4,1.6,15,4,5.8,4.4
0,9.4,-0.6,15,2,0.8,3.6
0,11.2,0.1,14,1,0.0,3.5
0,11.7,0.5,14,2,1.8,5.4
0,14.1,1.2,7,1,2.5,5.5
0,12.9,2.6,14,4,7.5,5.9
0,14.0,4.7,15,2,5.5,5.4
0,11.8,1.5,15,2,2.3,4.8
0,12.7,3.4,15,4,7.8,6.2
0.0,13.5,6.2,15,4,5.5,7.9
0,13.1,4.3,1,3,5.8,7.4
1.5,12.3,2.7,15,4,10.0,6.9
0,7.6,-0.2,14,2,0.8,2.6
0,10.5,-1.3,14,1,0.0,3.2
0,10.8,0.1,14,1,2.0,4.5
0,8.4,-0.4,2,2,4.0,4.1
0,11.4,1.3,14,2,4.8,4.7
0,10.0,2.5,0,4,10.0,6.4
0.0,6.8,3.9,1,4,10.0,6.5
0,12.7,2.0,14,2,7.5,4.3
0,6.5,-1.5,14,2,4.0,3.0
0,8.4,-1.5,15,2,2.0,2.2
0,8.1,-2.4,14,1,2.3,3.1
0,6.5,-1.3,15,4,7.5,3.4
0.0,5.7,1.2,15,4,10.0,5.3
0,12.5,-0.5,13,1,1.3,5.6
0,14.5,0.9,14,1,0.0,5.8
0.0,7.6,4.9,15,4,7.5,6.6
0,18.7,4.3,15,2,3.3,7.4
0,8.0,4.1,0,4,9.8,4.9
0,8.6,1.0,14,4,5.0,5.5
0,9.5,1.0,15,1,0.0,3.3
0,9.5,0.2,15,1,0.3,3.3
0,10.7,-0.3,14,2,4.0,4.6
0,16.0,1.2,0,2,6.5,5.2
19.0,10.2,2.7,1,10,10.0,8.1
13.0,6.5,2.3,15,10,10.0,8.0
1.5,13.2,3.8,0,3,7.3,7.5
0,11.2,2.7,15,4,5.8,7.6
1.0,16.2,6.4,15,4,9.5,8.3
9.0,7.9,0.9,15,4,10.0,6.4
0,10.8,0.7,14,2,4.5,4.6
0,9.3,0.9,14,1,0.0,2.8
0,11.9,-0.4,15,1,0.0,3.7
0.0,14.0,1.8,8,4,6.5,6.1
12.0,15.6,4.3,15,2,7.3,7.8
0,11.8,1.0,14,2,1.3,3.9
0,12.6,0.6,15,1,0.0,4.1
0,12.4,1.9,14,2,4.0,5.4
0,15.0,4.2,15,1,1.8,6.1
0.0,16.3,4.4,14,2,2.0,5.9
0,11.0,2.8,15,4,5.8,3.8
0,9.6,0.8,14,1,0.0,2.7
0,12.1,1.7,10,2,5.0,4.7
0,14.1,3.3,14,2,3.5,4.8
0,11.7,3.4,4,3,10.0,6.0
0,16.2,4.9,7,2,5.0,8.3
0,18.2,6.8,7,2,5.8,9.1
76.5,14.1,8.3,14,0,7.5,12.3
0,16.4,5.1,15,1,0.0,4.7
0.0,13.1,2.2,9,2,2.3,3.9
0,10.4,-0.5,14,2,4.3,2.8
0,12.3,1.4,8,1,0.3,4.2
0,18.1,1.4,9,1,0.0,5.6
0,20.9,7.3,7,1,0.0,8.8
0,21.9,7.7,14,1,1.5,8.5
0,15.5,5.5,14,2,3.8,5.2
0,11.9,3.2,15,2,7.0,3.2
0,11.3,1.5,15,2,4.5,4.5
0,11.8,5.6,15,4,10.0,4.8
0,9.6,2.1,15,3,5.3,3.4
0,12.9,0.3,7,2,3.3,5.5
0.5,19.1,4.6,8,3,7.0,9.2
9.5,19.8,7.9,8,10,10.0,13.4
0,11.8,3.8,14,2,5.0,4.4
0,15.0,2.3,6,2,9.0,7.0
2.0,17.4,8.4,14,4,9.8,10.6
0.5,21.0,9.6,15,4,10.0,10.7
0,10.3,5.8,2,4,10.0,5.9
5.5,7.7,5.1,1,10,10.0,8.4
0.0,13.7,5.7,1,4,10.0,8.4
0,19.4,6.8,15,2,3.0,6.1
0,15.4,4.2,8,1,2.5,6.5
0.0,18.0,7.5,8,4,10.0,9.3
65.0,13.9,8.1,14,0,9.5,12.6
0,18.2,8.1,13,1,0.8,6.4
0,19.5,8.3,14,1,0.3,5.1
0,22.0,7.6,9,3,8.5,7.9
0,20.1,9.0,14,2,2.5,5.8
0,17.7,6.6,7,1,2.0,7.3
0,18.9,9.5,2,2,8.0,8.6
0.0,18.6,10.8,7,4,10.0,11.0
46.5,19.7,12.6,8,0,10.0,18.1
0.5,15.6,7.5,15,4,10.0,7.5
0.0,15.8,5.3,8,1,0.5,6.0
0,20.5,6.7,8,2,5.0,9.4
0.5,18.4,11.7,8,4,10.0,12.3
0,21.2,10.2,14,2,2.5,6.7
0,18.3,8.0,7,2,7.3,7.7
8.0,18.6,14.3,8,4,10.0,15.1
34.5,23.4,13.3,7,2,7.5,16.6
0,23.3,14.0,3,4,9.8,15.3
0.0,23.4,15.0,15,2,5.0,10.8
0.0,21.7,13.6,2,4,7.8,11.4
0.0,19.9,13.4,1,4,9.8,11.4
0,22.3,11.8,8,2,5.8,12.0
10.5,23.3,15.7,8,2,9.0,15.7
18.0,17.2,8.5,2,10,8.0,13.6
0,15.7,6.4,2,4,7.0,8.2
0.0,19.6,7.9,1,2,2.8,8.8
2.5,18.1,9.6,7,2,5.0,9.8
0.0,18.3,7.2,1,2,5.8,6.1
0.0,16.3,6.8,15,2,4.3,5.3
0,18.6,6.5,6,2,0.5,8.2
0,20.8,9.1,6,2,6.0,9.5
0.5,20.1,12.1,8,4,10.0,14.2
36.0,19.2,7.6,8,10,10.0,17.0
0.0,16.5,6.0,6,2,6.5,6.6
0.0,19.1,8.2,7,4,9.5,10.0
33.5,18.7,14.0,6,4,10.0,14.2
15.0,22.0,12.1,11,2,3.0,8.9
0,21.9,11.0,14,1,0.0,7.1
0,24.5,10.6,7,1,2.5,9.8
0,25.2,13.8,14,1,0.0,7.7
0,26.2,11.3,15,2,3.3,5.8
0,20.4,9.0,2,2,1.5,7.9
0,21.6,8.9,8,3,8.3,9.7
0.0,23.2,12.3,8,3,6.0,11.3
0,19.4,8.9,1,1,1.8,5.2
0,20.4,8.2,7,3,4.8,9.2
0.0,23.8,10.7,9,4,7.8,12.9
37.0,18.8,16.0,8,10,10.0,17.8
3.0,24.2,12.7,14,1,5.0,13.2
8.0,24.1,12.5,8,2,6.8,14.5
2.0,23.5,12.5,14,2,5.5,12.2
0.0,22.8,11.4,14,2,5.3,7.8
0,24.5,10.9,6,2,5.0,10.3
3.0,22.1,14.0,8,10,9.3,14.9
3.5,24.4,15.6,7,3,10.0,15.7
1.0,20.5,15.3,8,4,10.0,16.6
0.0,24.9,12.9,8,2,5.5,15.8
0,28.5,17.6,9,2,4.8,15.3
0.0,25.1,16.1,14,2,6.8,10.0
0.0,19.9,15.0,3,4,9.8,11.7
0,21.2,15.3,7,4,10.0,11.5
12.0,18.2,14.4,0,10,10.0,17.3
0.0,26.9,15.9,8,3,10.0,18.5
0,26.4,17.1,7,3,9.0,17.8
1.0,22.4,18.3,8,4,9.5,19.1
0.5,25.0,19.8,8,4,9.3,24.8
1.0,22.8,16.6,1,4,9.8,21.6
9.5,18.4,16.1,2,10,10.0,19.2
2.0,22.3,16.2,2,4,10.0,20.3
5.0,25.2,16.8,8,10,10.0,23.9
2.0,23.4,17.5,8,4,10.0,19.3
5.5,25.4,15.0,7,2,5.8,17.3
0.0,28.0,16.4,8,4,8.8,17.1
0,28.9,17.0,8,2,7.5,17.5
0,26.0,16.9,6,3,10.0,14.9
35.5,20.3,15.5,5,0,10.0,18.0
0,26.1,15.0,8,3,10.0,17.7
0,28.3,18.3,8,4,8.0,18.0
0.5,26.8,17.8,3,2,8.5,17.9
7.5,25.2,16.4,7,4,8.3,16.2
0.5,25.7,15.1,7,2,5.0,17.0
0,26.4,19.0,7,4,10.0,18.4
3.0,27.4,18.1,7,4,8.0,18.9
23.0,23.9,19.3,7,10,10.0,24.1
0.0,26.7,19.1,6,4,10.0,20.4
0.5,24.0,19.5,8,10,10.0,21.5
0.0,29.7,19.7,7,4,9.5,20.1
0.0,31.4,18.8,15,2,6.8,19.6
0,31.1,19.5,7,2,1.5,16.4
0,30.7,19.0,7,1,0.8,18.7
0,29.4,20.6,7,3,9.5,19.5
0,28.1,19.5,7,2,8.5,20.7
0.0,28.1,21.2,8,4,10.0,20.6
3.5,23.7,19.0,7,10,10.0,22.9
1.0,29.5,18.8,7,2,7.0,22.4
30.5,24.9,20.6,7,10,10.0,23.4
3.5,26.7,18.9,15,4,8.3,20.0
0.0,27.4,18.5,7,3,10.0,19.2
12.0,23.1,19.2,8,10,10.0,22.7
14.5,28.6,19.5,15,4,10.0,23.2
0,27.9,19.6,7,4,7.3,20.6
0,28.6,19.1,7,4,8.5,21.4
1.5,25.6,20.6,3,4,10.0,21.5
0.0,27.2,19.1,7,4,8.8,21.5
19.0,27.5,20.7,7,4,8.8,22.5
0.0,28.4,20.5,6,3,10.0,22.1
0.0,26.7,21.6,3,4,10.0,22.9
0.0,29.6,20.1,3,2,7.5,21.8
53.0,28.4,18.8,15,4,9.5,23.2
3.0,23.1,18.4,3,4,10.0,22.0
64.5,22.9,20.1,14,0,10.0,24.1
68.0,22.2,20.3,14,0,10.0,25.2
53.5,25.8,20.5,3,10,10.0,24.6
17.5,21.1,19.3,2,10,10.0,23.2
2.5,25.1,19.9,0,4,10.0,25.6
0.5,29.6,22.0,7,4,10.0,28.3
0.5,30.0,22.9,4,4,9.8,27.9
7.5,24.8,22.3,4,10,10.0,27.1
9.0,24.9,22.2,1,10,10.0,28.9
4.5,33.4,22.7,6,2,8.5,30.1
17.5,31.8,21.2,1,4,6.3,28.1
0.0,31.6,21.0,7,3,8.0,26.9
0.0,29.0,23.4,2,4,10.0,26.5
0.0,28.8,22.8,6,4,10.0,26.3
0.0,31.1,23.0,2,4,9.0,27.3
0,33.2,24.1,6,4,6.3,28.3
0,32.6,23.5,8,2,4.3,26.3
0,33.2,23.7,8,2,2.8,28.7
0,34.7,25.1,8,2,3.3,30.0
0,34.0,25.6,8,2,9.0,28.2
0,33.6,24.3,8,2,4.3,26.6
0,34.2,24.1,8,2,2.3,26.1
0.0,34.0,24.6,7,2,6.0,27.0
0.0,34.4,25.3,6,2,4.8,27.7
0,34.4,24.7,6,2,4.5,26.7
0.0,32.1,24.6,2,4,9.5,24.1
34.5,29.8,21.3,14,10,8.5,26.2
0.0,32.0,23.9,7,4,8.0,29.1
0,32.1,24.3,8,4,8.0,29.3
30.0,30.5,23.9,6,4,9.3,30.7
0,32.5,23.3,4,2,7.0,27.6
0,33.7,24.2,7,2,2.3,29.6
0.5,33.1,25.6,6,2,7.0,30.9
3.0,32.9,25.7,8,4,6.3,31.6
0,34.5,25.7,8,2,2.8,30.7
0,34.7,24.0,7,2,5.8,29.0
0,34.8,24.6,7,2,4.0,29.5
2.0,31.4,26.3,2,4,9.0,32.0
90.5,28.8,24.7,0,0,10.0,32.3
2.0,31.3,25.6,8,4,6.0,31.9
0.0,36.8,27.2,9,2,4.8,26.1
0,33.5,25.9,6,2,9.3,24.7
0.5,29.2,23.9,7,4,9.5,28.3
20.5,25.4,20.5,2,10,10.0,26.4
77.0,25.6,20.1,0,10,10.0,27.0
138.5,20.2,18.4,15,0,10.0,22.4
2.0,22.5,19.0,14,10,10.0,23.8
23.5,27.4,20.7,7,10,10.0,28.0
3.0,31.3,24.5,8,2,6.5,29.5
0.0,33.8,25.1,8,2,5.8,28.3
0,33.7,25.2,8,2,2.8,27.7
0.0,32.1,24.8,8,4,8.8,28.3
0.0,33.6,25.5,9,4,10.0,29.4
2.5,30.3,22.2,7,4,10.0,29.7
0.0,31.0,23.9,7,4,9.8,28.6
0.0,34.4,26.3,8,4,8.8,31.0
0.0,35.7,26.6,7,3,4.8,32.1
0,34.3,26.9,7,2,2.8,31.3
0.0,34.8,26.7,7,2,3.0,31.5
